gains_losses,value,case,zone,flux,heat_direction,HEI
north_extWall,117647.22492756284,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.01635707131483765
north_extWall,-22760.535402464753,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.003164508988386518
north_intWall,165233.08744646417,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.02297316742147323
north_intWall,-25097.76786062868,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.003489465892564067
south_extWall,119380.35534794809,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.016598036946637387
south_extWall,-85777.01353723445,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.011925999346488827
south_extWindow,11415.498373847771,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.001587152787585173
south_extWindow,-58660.57404634169,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.008155867625743943
south_frame,1532.8501741376976,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.00021311968581298383
south_frame,-9725.186765724395,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.0013521404654892153
vn_interzone,456215.0569350283,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.06342981932454125
vn_interzone,-190847.62419429998,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.026534482229696302
vn_window,25579.386467448647,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.003556427692157364
vn_window,-835355.0143803484,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.11614350913793074
west_extWall,375489.037428758,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.05220608447792626
west_extWall,-94377.89249598526,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.013121821777363804
west_extWindow,14274.109356622044,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.0019845995079426386
west_extWindow,-45980.00834024118,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.006392826315633309
west_frame,1334.0549983287917,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.00018548021646082455
west_frame,-8495.009745486022,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.0011811029143501807
west_intWall,112881.88406559112,U001_Caso01_1a7_hi_in1.csv,SALA,convection,gain,0.015694522577570157
west_intWall,-13271.79499488406,U001_Caso01_1a7_hi_in1.csv,SALA,convection,loss,0.001845242820992064
temp_ext,-178437.1,U001_Caso01_1a7_hi_in1.csv,EXTERNAL,drybulb,no direction,1.0
